Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
"Bird species, threatened",EN.BIR.THRD.NO,Libya,LBY,..,..,..,..,..,..,..,..,8,..,..,..
"Bird species, threatened",EN.BIR.THRD.NO,Liechtenstein,LIE,..,..,..,..,..,..,..,..,2,..,..,..
"Bird species, threatened",EN.BIR.THRD.NO,Lithuania,LTU,..,..,..,..,..,..,..,..,10,..,..,..
"Bird species, threatened",EN.BIR.THRD.NO,Luxembourg,LUX,..,..,..,..,..,..,..,..,3,..,..,..
"Bird species, threatened",EN.BIR.THRD.NO,"Macao SAR, China",MAC,..,..,..,..,..,..,..,..,4,..,..,..
"Bird species, threatened",EN.BIR.THRD.NO,Madagascar,MDG,..,..,..,..,..,..,..,..,37,..,..,..
"Bird species, threatened",EN.BIR.THRD.NO,Malawi,MWI,..,..,..,..,..,..,..,..,19,..,..,..
"Bird species, threatened",EN.BIR.THRD.NO,Malaysia,MYS,..,..,..,..,..,..,..,..,63,..,..,..
"Bird species, threatened",EN.BIR.THRD.NO,Maldives,MDV,..,..,..,..,..,..,..,..,0,..,..,..
"Bird species, threatened",EN.BIR.THRD.NO,Mali,MLI,..,..,..,..,..,..,..,..,17,..,..,..
"Bird species, threatened",EN.BIR.THRD.NO,Malta,MLT,..,..,..,..,..,..,..,..,5,..,..,..
"Bird species, threatened",EN.BIR.THRD.NO,Marshall Islands,MHL,..,..,..,..,..,..,..,..,4,..,..,..
"Bird species, threatened",EN.BIR.THRD.NO,Mauritania,MRT,..,..,..,..,..,..,..,..,19,..,..,..
"Bird species, threatened",EN.BIR.THRD.NO,Mauritius,MUS,..,..,..,..,..,..,..,..,12,..,..,..
"Bird species, threatened",EN.BIR.THRD.NO,Mexico,MEX,..,..,..,..,..,..,..,..,71,..,..,..
"Bird species, threatened",EN.BIR.THRD.NO,"Micronesia, Fed. Sts.",FSM,..,..,..,..,..,..,..,..,12,..,..,..
"Bird species, threatened",EN.BIR.THRD.NO,Moldova,MDA,..,..,..,..,..,..,..,..,11,..,..,..
"Bird species, threatened",EN.BIR.THRD.NO,Monaco,MCO,..,..,..,..,..,..,..,..,0,..,..,..
"Bird species, threatened",EN.BIR.THRD.NO,Mongolia,MNG,..,..,..,..,..,..,..,..,24,..,..,..
"Bird species, threatened",EN.BIR.THRD.NO,Montenegro,MNE,..,..,..,..,..,..,..,..,13,..,..,..
"Bird species, threatened",EN.BIR.THRD.NO,Morocco,MAR,..,..,..,..,..,..,..,..,18,..,..,..
"Bird species, threatened",EN.BIR.THRD.NO,Mozambique,MOZ,..,..,..,..,..,..,..,..,30,..,..,..
"Bird species, threatened",EN.BIR.THRD.NO,Myanmar,MMR,..,..,..,..,..,..,..,..,56,..,..,..
"Bird species, threatened",EN.BIR.THRD.NO,Namibia,NAM,..,..,..,..,..,..,..,..,32,..,..,..
"Bird species, threatened",EN.BIR.THRD.NO,Nauru,NRU,..,..,..,..,..,..,..,..,2,..,..,..
"Bird species, threatened",EN.BIR.THRD.NO,Nepal,NPL,..,..,..,..,..,..,..,..,38,..,..,..
"Bird species, threatened",EN.BIR.THRD.NO,Netherlands,NLD,..,..,..,..,..,..,..,..,10,..,..,..
"Bird species, threatened",EN.BIR.THRD.NO,New Caledonia,NCL,..,..,..,..,..,..,..,..,17,..,..,..
"Bird species, threatened",EN.BIR.THRD.NO,New Zealand,NZL,..,..,..,..,..,..,..,..,69,..,..,..
"Bird species, threatened",EN.BIR.THRD.NO,Nicaragua,NIC,..,..,..,..,..,..,..,..,17,..,..,..
"Bird species, threatened",EN.BIR.THRD.NO,Niger,NER,..,..,..,..,..,..,..,..,13,..,..,..
"Bird species, threatened",EN.BIR.THRD.NO,Nigeria,NGA,..,..,..,..,..,..,..,..,21,..,..,..
"Bird species, threatened",EN.BIR.THRD.NO,North Macedonia,MKD,..,..,..,..,..,..,..,..,13,..,..,..
"Bird species, threatened",EN.BIR.THRD.NO,Northern Mariana Islands,MNP,..,..,..,..,..,..,..,..,17,..,..,..
"Bird species, threatened",EN.BIR.THRD.NO,Norway,NOR,..,..,..,..,..,..,..,..,11,..,..,..
"Bird species, threatened",EN.BIR.THRD.NO,Oman,OMN,..,..,..,..,..,..,..,..,13,..,..,..
"Bird species, threatened",EN.BIR.THRD.NO,Pakistan,PAK,..,..,..,..,..,..,..,..,33,..,..,..
"Bird species, threatened",EN.BIR.THRD.NO,Palau,PLW,..,..,..,..,..,..,..,..,6,..,..,..
"Bird species, threatened",EN.BIR.THRD.NO,Panama,PAN,..,..,..,..,..,..,..,..,25,..,..,..
"Bird species, threatened",EN.BIR.THRD.NO,Papua New Guinea,PNG,..,..,..,..,..,..,..,..,39,..,..,..
"Bird species, threatened",EN.BIR.THRD.NO,Paraguay,PRY,..,..,..,..,..,..,..,..,27,..,..,..
"Bird species, threatened",EN.BIR.THRD.NO,Peru,PER,..,..,..,..,..,..,..,..,119,..,..,..
"Bird species, threatened",EN.BIR.THRD.NO,Philippines,PHL,..,..,..,..,..,..,..,..,93,..,..,..
"Bird species, threatened",EN.BIR.THRD.NO,Poland,POL,..,..,..,..,..,..,..,..,11,..,..,..
"Bird species, threatened",EN.BIR.THRD.NO,Portugal,PRT,..,..,..,..,..,..,..,..,15,..,..,..
"Bird species, threatened",EN.BIR.THRD.NO,Puerto Rico,PRI,..,..,..,..,..,..,..,..,11,..,..,..
"Bird species, threatened",EN.BIR.THRD.NO,Qatar,QAT,..,..,..,..,..,..,..,..,9,..,..,..
"Bird species, threatened",EN.BIR.THRD.NO,Romania,ROU,..,..,..,..,..,..,..,..,17,..,..,..
"Bird species, threatened",EN.BIR.THRD.NO,Russian Federation,RUS,..,..,..,..,..,..,..,..,57,..,..,..
"Bird species, threatened",EN.BIR.THRD.NO,Rwanda,RWA,..,..,..,..,..,..,..,..,20,..,..,..
"Bird species, threatened",EN.BIR.THRD.NO,Samoa,WSM,..,..,..,..,..,..,..,..,6,..,..,..
"Bird species, threatened",EN.BIR.THRD.NO,San Marino,SMR,..,..,..,..,..,..,..,..,0,..,..,..
"Bird species, threatened",EN.BIR.THRD.NO,Sao Tome and Principe,STP,..,..,..,..,..,..,..,..,12,..,..,..
"Bird species, threatened",EN.BIR.THRD.NO,Saudi Arabia,SAU,..,..,..,..,..,..,..,..,18,..,..,..
"Bird species, threatened",EN.BIR.THRD.NO,Senegal,SEN,..,..,..,..,..,..,..,..,19,..,..,..
"Bird species, threatened",EN.BIR.THRD.NO,Serbia,SRB,..,..,..,..,..,..,..,..,13,..,..,..
"Bird species, threatened",EN.BIR.THRD.NO,Seychelles,SYC,..,..,..,..,..,..,..,..,13,..,..,..
"Bird species, threatened",EN.BIR.THRD.NO,Sierra Leone,SLE,..,..,..,..,..,..,..,..,16,..,..,..
"Bird species, threatened",EN.BIR.THRD.NO,Singapore,SGP,..,..,..,..,..,..,..,..,22,..,..,..
"Bird species, threatened",EN.BIR.THRD.NO,Sint Maarten (Dutch part),SXM,..,..,..,..,..,..,..,..,1,..,..,..
"Bird species, threatened",EN.BIR.THRD.NO,Slovak Republic,SVK,..,..,..,..,..,..,..,..,12,..,..,..
"Bird species, threatened",EN.BIR.THRD.NO,Slovenia,SVN,..,..,..,..,..,..,..,..,10,..,..,..
"Bird species, threatened",EN.BIR.THRD.NO,Solomon Islands,SLB,..,..,..,..,..,..,..,..,24,..,..,..
"Bird species, threatened",EN.BIR.THRD.NO,Somalia,SOM,..,..,..,..,..,..,..,..,21,..,..,..
"Bird species, threatened",EN.BIR.THRD.NO,South Africa,ZAF,..,..,..,..,..,..,..,..,54,..,..,..
"Bird species, threatened",EN.BIR.THRD.NO,South Sudan,SSD,..,..,..,..,..,..,..,..,21,..,..,..
"Bird species, threatened",EN.BIR.THRD.NO,Spain,ESP,..,..,..,..,..,..,..,..,19,..,..,..
"Bird species, threatened",EN.BIR.THRD.NO,Sri Lanka,LKA,..,..,..,..,..,..,..,..,16,..,..,..
"Bird species, threatened",EN.BIR.THRD.NO,St. Kitts and Nevis,KNA,..,..,..,..,..,..,..,..,3,..,..,..
"Bird species, threatened",EN.BIR.THRD.NO,St. Lucia,LCA,..,..,..,..,..,..,..,..,7,..,..,..
"Bird species, threatened",EN.BIR.THRD.NO,St. Martin (French part),MAF,..,..,..,..,..,..,..,..,1,..,..,..
"Bird species, threatened",EN.BIR.THRD.NO,St. Vincent and the Grenadines,VCT,..,..,..,..,..,..,..,..,4,..,..,..
"Bird species, threatened",EN.BIR.THRD.NO,Sudan,SDN,..,..,..,..,..,..,..,..,26,..,..,..
"Bird species, threatened",EN.BIR.THRD.NO,Suriname,SUR,..,..,..,..,..,..,..,..,9,..,..,..
"Bird species, threatened",EN.BIR.THRD.NO,Sweden,SWE,..,..,..,..,..,..,..,..,11,..,..,..
"Bird species, threatened",EN.BIR.THRD.NO,Switzerland,CHE,..,..,..,..,..,..,..,..,9,..,..,..
"Bird species, threatened",EN.BIR.THRD.NO,Syrian Arab Republic,SYR,..,..,..,..,..,..,..,..,17,..,..,..
"Bird species, threatened",EN.BIR.THRD.NO,Tajikistan,TJK,..,..,..,..,..,..,..,..,15,..,..,..
"Bird species, threatened",EN.BIR.THRD.NO,Tanzania,TZA,..,..,..,..,..,..,..,..,49,..,..,..
"Bird species, threatened",EN.BIR.THRD.NO,Thailand,THA,..,..,..,..,..,..,..,..,62,..,..,..
"Bird species, threatened",EN.BIR.THRD.NO,Timor-Leste,TLS,..,..,..,..,..,..,..,..,6,..,..,..
"Bird species, threatened",EN.BIR.THRD.NO,Togo,TGO,..,..,..,..,..,..,..,..,13,..,..,..
"Bird species, threatened",EN.BIR.THRD.NO,Tonga,TON,..,..,..,..,..,..,..,..,5,..,..,..
